Timestamp,% Baseline,City,County,State
"Feb 2, 2014 12pm",0.5625,Hanover,Plymouth,Massachusetts
"Feb 2, 2014 1pm",0.1573,Hanover,Plymouth,Massachusetts
"Feb 2, 2014 2pm",0.0403,Hanover,Plymouth,Massachusetts
"Feb 2, 2014 3pm",0.0175,Hanover,Plymouth,Massachusetts
"Feb 2, 2014 4pm",0.0077,Hanover,Plymouth,Massachusetts
"Feb 3, 2014 7am",0.0082,Hanover,Plymouth,Massachusetts
"Feb 3, 2014 8am",0.0544,Hanover,Plymouth,Massachusetts
"Feb 3, 2014 9am",0.045,Hanover,Plymouth,Massachusetts
"Feb 3, 2014 10am",0.0384,Hanover,Plymouth,Massachusetts
"Feb 3, 2014 11am",0.01,Hanover,Plymouth,Massachusetts
"Feb 3, 2014 12pm",0.0052,Hanover,Plymouth,Massachusetts
"Feb 3, 2014 1pm",0.0017,Hanover,Plymouth,Massachusetts
"Feb 3, 2014 2pm",0.0003,Hanover,Plymouth,Massachusetts
"Feb 4, 2014 8am",0.0008,Hanover,Plymouth,Massachusetts
"Feb 4, 2014 9am",0.0072,Hanover,Plymouth,Massachusetts
"Feb 4, 2014 10am",0.015,Hanover,Plymouth,Massachusetts
"Feb 4, 2014 11am",0.0517,Hanover,Plymouth,Massachusetts
"Feb 4, 2014 12pm",0.0824,Hanover,Plymouth,Massachusetts
"Feb 4, 2014 1pm",0.1392,Hanover,Plymouth,Massachusetts
"Feb 4, 2014 2pm",0.0981,Hanover,Plymouth,Massachusetts
"Feb 4, 2014 3pm",0.0568,Hanover,Plymouth,Massachusetts
"Feb 4, 2014 4pm",0.0143,Hanover,Plymouth,Massachusetts
"Feb 4, 2014 5pm",0.0005,Hanover,Plymouth,Massachusetts
"Feb 6, 2014 7am",0.0006,Hanover,Plymouth,Massachusetts
"Feb 6, 2014 8am",0.0055,Hanover,Plymouth,Massachusetts
"Feb 6, 2014 9am",0.0172,Hanover,Plymouth,Massachusetts
"Feb 6, 2014 10am",0.0237,Hanover,Plymouth,Massachusetts
"Feb 6, 2014 11am",0.0789,Hanover,Plymouth,Massachusetts
"Feb 6, 2014 12pm",0.1657,Hanover,Plymouth,Massachusetts
"Feb 6, 2014 1pm",0.2009,Hanover,Plymouth,Massachusetts
"Feb 6, 2014 2pm",0.1256,Hanover,Plymouth,Massachusetts
"Feb 6, 2014 3pm",0.045,Hanover,Plymouth,Massachusetts
"Feb 6, 2014 4pm",0.0074,Hanover,Plymouth,Massachusetts
"Feb 6, 2014 5pm",0.0003,Hanover,Plymouth,Massachusetts
"Feb 7, 2014 6am",0.0004,Hanover,Plymouth,Massachusetts
"Feb 7, 2014 7am",0.0145,Hanover,Plymouth,Massachusetts
"Feb 7, 2014 8am",0.0522,Hanover,Plymouth,Massachusetts
"Feb 7, 2014 9am",0.1249,Hanover,Plymouth,Massachusetts
"Feb 7, 2014 10am",0.2332,Hanover,Plymouth,Massachusetts
"Feb 7, 2014 11am",0.4458,Hanover,Plymouth,Massachusetts
"Feb 7, 2014 12pm",0.4688,Hanover,Plymouth,Massachusetts
"Feb 7, 2014 1pm",0.4046,Hanover,Plymouth,Massachusetts
"Feb 7, 2014 2pm",0.2477,Hanover,Plymouth,Massachusetts
"Feb 7, 2014 3pm",0.0544,Hanover,Plymouth,Massachusetts
"Feb 7, 2014 4pm",0.0119,Hanover,Plymouth,Massachusetts
"Feb 7, 2014 5pm",0.0007,Hanover,Plymouth,Massachusetts
"Feb 8, 2014 6am",0.0008,Hanover,Plymouth,Massachusetts
"Feb 8, 2014 7am",0.0241,Hanover,Plymouth,Massachusetts
"Feb 8, 2014 8am",0.0873,Hanover,Plymouth,Massachusetts
"Feb 8, 2014 9am",0.2392,Hanover,Plymouth,Massachusetts
"Feb 8, 2014 10am",0.4262,Hanover,Plymouth,Massachusetts
"Feb 8, 2014 11am",0.6641,Hanover,Plymouth,Massachusetts
"Feb 8, 2014 12pm",0.6763,Hanover,Plymouth,Massachusetts
"Feb 8, 2014 1pm",0.3868,Hanover,Plymouth,Massachusetts
"Feb 8, 2014 2pm",0.2067,Hanover,Plymouth,Massachusetts
