objective,num_leaves,n_estimators,max_depth,learning_rate,feature_fraction,mean_score,std_score
mape,250,650,4,0.048,0.7,0.8602189445270033,0.008101891394165827
mae,650,700,3,0.044,0.8,0.8455381950312683,0.0073617183545674056
mape,450,900,5,0.006,0.7,0.8563852358288361,0.007176890004553428
rmse,400,200,3,0.03,0.4,0.8369384838840842,0.005328646031503034
mape,1300,1400,9,0.004,0.6,0.8841681160775143,0.004802841334646076
mape,100,1300,-1,0.04,0.1,0.8705034901313954,0.0050908419395289065
rmse,900,550,6,0.016,0.4,0.8892802116937802,0.005495016943461072
mae,250,750,8,0.016,0.8,0.8852253017405856,0.005246605737382595
mape,550,1100,11,0.028,0.3,0.8919449694974049,0.005403468508114632
rmse,700,850,5,0.02,0.8,0.8895591880745682,0.005925315239098185
mae,150,500,7,0.022,0.8,0.8785515501456469,0.00596829015674288
mae,100,1000,5,0.016,0.6,0.8682746353444442,0.007348433242750398
mae,900,850,10,0.026,0.2,0.8833862635542247,0.004949427251197146
rmse,450,150,11,0.012,0.1,0.7048083485043181,0.0021510342929296194
mape,800,700,-1,0.02,0.4,0.8982022094219608,0.004175803348657815
rmse,600,750,12,0.046,0.4,0.9119430207009489,0.003732756511185235
mape,1300,350,11,0.016,0.2,0.8636310866008963,0.004091531403144673
mae,1000,600,9,0.044,0.9,0.8919624141274557,0.004870409985602156
mape,1000,600,6,0.026,0.6,0.8741972300748444,0.007183523590364713
rmse,900,450,11,0.03,0.6,0.9090388033421808,0.003612578699953086
mape,1250,800,12,0.024,0.6,0.8955941003035747,0.004025549423267795
rmse,350,1150,11,0.024,0.2,0.9043931997269455,0.002961515711482538
mae,950,700,8,0.038,0.5,0.888460069267005,0.005256746883988386
mae,1050,250,11,0.048,0.9,0.8948847324864079,0.005717203136329818
mae,250,1050,10,0.026,0.7,0.8959511344006477,0.004160825567735673
rmse,1300,1350,9,0.032,0.2,0.9050146679448107,0.002929160485255382
mae,1050,1150,5,0.032,0.6,0.8730121031285623,0.007217364036290775
mape,250,1400,12,0.004,0.3,0.8835220947972954,0.00434926901795927
mape,650,850,4,0.042,0.6,0.8613431065800117,0.0073540362274426615
mape,1300,250,11,0.036,0.9,0.8902515522794389,0.004659109215154252
mape,900,200,7,0.048,0.5,0.8759829950234149,0.005716624956045119
mae,1300,1250,11,0.034,0.8,0.9002096067229193,0.005943193996435148
mae,1300,800,10,0.006,0.1,0.8141527930819069,0.002802578262403437
rmse,650,1250,4,0.01,0.6,0.8734790798057332,0.006336324714996202
mape,800,1050,4,0.016,0.5,0.8569722616573512,0.00716510145986623
mape,400,900,5,0.012,0.1,0.8149214135933378,0.0038810948980913633
mape,950,1300,12,0.032,0.3,0.8944942933551168,0.004797969643696514
rmse,750,550,10,0.038,0.7,0.9101824368379886,0.0037658358527962225
mae,1400,650,12,0.02,0.8,0.89856027802381,0.00489618907667252
rmse,1350,1000,3,0.03,0.4,0.8692273219854553,0.004816277855088785
mape,1350,300,10,0.02,0.4,0.8857273128291283,0.004522507863148941
rmse,600,1250,7,0.004,0.3,0.8840167046111008,0.004492430070543572
mae,600,900,-1,0.044,0.1,0.86947651343183,0.004414409541425035
rmse,1050,100,11,0.038,0.6,0.8946276782332651,0.00514238002441651
mape,300,800,3,0.012,0.8,0.8301142710390854,0.007611056550516449
mae,1350,1450,9,0.048,0.6,0.8962232870038715,0.004998025985811342
mape,550,500,3,0.012,0.5,0.8176357493988344,0.004576918743054895
rmse,700,250,7,0.044,0.5,0.8980159438854903,0.004763826299458258
mape,200,200,9,0.034,0.5,0.8839618231690032,0.005066375546108513
mape,900,1200,4,0.036,0.9,0.8608294255297464,0.007856640398922823
rmse,300,450,7,0.038,0.4,0.901151862840791,0.004139813484593595
mape,600,1050,3,0.016,0.8,0.8384199537498785,0.008283020703699398
rmse,1400,350,9,0.034,0.1,0.8738043762277784,0.003926424610805479
rmse,400,750,7,0.044,0.8,0.9074890069691703,0.004486377531521882
mape,550,800,8,0.016,0.5,0.884141127782109,0.0050640280924607655
rmse,950,950,-1,0.006,0.8,0.9055168314033114,0.004928238990137486
mape,1300,700,4,0.022,0.7,0.8564651832834426,0.007879881723147537
mape,350,1250,8,0.016,0.4,0.8860964949191801,0.005438501403681562
mae,550,750,-1,0.022,0.8,0.9051811102265043,0.004527409223108714
mape,900,700,6,0.014,0.6,0.8722512519248534,0.006842035949240757
mape,300,850,8,0.018,0.3,0.8832558503537303,0.005172458688136111
mape,350,950,9,0.038,0.7,0.8910412120601456,0.005739724166710661
mae,400,1450,6,0.008,0.1,0.8352939093273615,0.003933272204088442
mae,1200,250,6,0.038,0.9,0.8699163203476633,0.006520744036944682
mae,950,250,12,0.026,0.3,0.8886175876866997,0.004511894305678117
rmse,850,1300,12,0.01,0.4,0.9098811705722947,0.004025471405801891
mape,1200,450,4,0.04,0.8,0.8571002297150859,0.00785230232429912
mape,750,1100,8,0.006,0.1,0.8193777025572478,0.0029873531336723977
mape,250,900,12,0.032,0.6,0.8970503772860696,0.004549620110054451
rmse,1200,150,10,0.01,0.8,0.831107938321189,0.0029101296424829236
mape,150,1050,10,0.018,0.9,0.8905684346987668,0.005235848643075058
rmse,1300,400,4,0.036,0.1,0.8485489764323744,0.004509185880494688
mape,1100,1450,12,0.018,0.9,0.8951745785436611,0.005020635688274765
rmse,900,1100,7,0.02,0.2,0.8968832816442368,0.0030115303520375013
mape,1350,1150,10,0.02,0.1,0.8602252618091942,0.004585392546443771
mae,700,850,8,0.014,0.6,0.8859320975730991,0.005766732060324137
mae,400,600,5,0.02,0.7,0.8661822108467989,0.008047264197978358
mae,1300,1050,11,0.004,0.6,0.8900302873361788,0.00484194274026091
mae,1150,900,7,0.024,0.1,0.8577689746780665,0.0050162806590973805
mae,1100,1300,-1,0.018,0.8,0.9070703649575875,0.005351912779212617
mae,100,100,7,0.032,0.3,0.8486660436796236,0.004315501357560512
mae,1400,450,8,0.024,0.9,0.8847075614429601,0.0058154335561849966
mae,100,200,-1,0.036,0.4,0.8874854273866555,0.00526256671880972
rmse,250,1250,6,0.01,0.2,0.8834347275035831,0.004494924582706252
rmse,1200,350,7,0.026,0.7,0.8970371563846989,0.005449530665930496
mae,1400,1150,5,0.044,0.2,0.8686806913088049,0.00744469793799225
mape,700,900,10,0.03,0.6,0.8936900126883756,0.0051391199287478635
mae,1000,500,6,0.036,0.4,0.8764459849149449,0.006707913478023612
mae,500,450,6,0.046,0.3,0.8757791986033703,0.006467404511844901
mape,250,1050,12,0.016,0.5,0.8946108130426503,0.004362183509515186
mape,150,650,5,0.014,0.8,0.8621934126506523,0.007185722518606131
mae,500,1050,3,0.012,0.6,0.8351225825971593,0.006909080449358151
mape,950,900,5,0.04,0.3,0.8688164452652891,0.00704650254179374
mae,1050,500,10,0.024,0.5,0.8933597842688366,0.00498454751739719
mape,700,1200,5,0.012,0.1,0.8287778432863324,0.0046439121389564835
mape,250,750,3,0.014,0.4,0.8273787704682563,0.006395568087278657
mape,800,1450,5,0.02,0.3,0.8690536912381359,0.007415102652267528
mape,1450,1200,9,0.02,0.4,0.8899486040453619,0.005109065800310373
rmse,1200,600,4,0.04,0.3,0.8801949513351992,0.004909499099530503
mape,150,500,6,0.004,0.8,0.8121874044061956,0.0046145089180742995
mape,250,950,3,0.032,0.4,0.8447407406651604,0.008143858585270157
mae,850,1350,8,0.038,0.7,0.8909561677866794,0.006410877806819225
mae,1400,1350,4,0.03,0.8,0.8641097566566566,0.007903121542667745
rmse,1400,350,12,0.046,0.7,0.9099414701128011,0.004232361508041013
mae,700,350,5,0.028,0.2,0.8464176578429854,0.006625220304878875
mape,500,800,4,0.036,0.3,0.8584496962488077,0.007500164837734694
mae,1250,1200,9,0.028,0.7,0.8931723017437062,0.004993786345978203
mape,650,1300,9,0.016,0.8,0.8896892075710657,0.00564723851724772
mae,1000,800,8,0.032,0.5,0.8881687977881838,0.005447580425149883
mae,850,800,9,0.022,0.4,0.8906832318294887,0.005983657834362742
mae,1000,1450,6,0.044,0.4,0.8833935245005112,0.00652784339953912
mape,1000,300,10,0.036,0.8,0.8887645618769422,0.006076305236757844
rmse,1350,250,9,0.042,0.8,0.9040888040435036,0.004678451716152268
rmse,1150,500,11,0.008,0.1,0.8264353967072118,0.003373810853358661
mae,1250,500,11,0.014,0.2,0.8753795843522589,0.004419883273899883
mae,300,750,7,0.028,0.9,0.8820234461123759,0.006208420248065507
mape,600,1300,4,0.04,0.6,0.8631466844659252,0.008279619211374645
rmse,550,900,-1,0.04,0.9,0.9117245424870173,0.004507204815427004
rmse,300,1450,9,0.006,0.7,0.903908005689724,0.0044270394049783085
rmse,300,250,-1,0.02,0.2,0.8851450184938934,0.003994890706424522
mape,1150,500,8,0.032,0.1,0.8528496341038805,0.004467062445087686
rmse,400,750,10,0.014,0.7,0.9068957350187847,0.004052696589534033
mae,450,800,11,0.008,0.4,0.8919172671854101,0.005456283451666711
mae,300,500,4,0.04,0.3,0.8555976465957702,0.008061058834919298
mape,750,1100,6,0.022,0.4,0.8771516014899331,0.006870155941652623
mape,500,1200,7,0.046,0.1,0.8679340204331315,0.005122300700694111
mae,850,1200,10,0.014,0.1,0.8610602221501543,0.004265834464778878
rmse,1350,950,3,0.01,0.9,0.8493073596159704,0.00729911010279786
mape,1350,1450,7,0.044,0.6,0.8838218416629307,0.005945768802395819
rmse,100,600,5,0.036,0.4,0.889780411203233,0.005027383764339725
rmse,750,1450,11,0.016,0.8,0.9112084302500166,0.004382496426442695
