objective,num_leaves,n_estimators,max_depth,learning_rate,feature_fraction,mean_score,std_score
rmse,1100,400,4,0.012,0.3,0.8497245612149595,0.005502826006777818
rmse,350,1150,11,0.014,0.5,0.910716522185681,0.003860773143146963
mae,300,1250,4,0.032,0.3,0.8629340795073361,0.007854285528565638
mae,600,800,12,0.04,0.6,0.9005082868799683,0.004858617153146622
rmse,100,1300,12,0.008,0.3,0.9052367150001062,0.003725323787370708
mape,1450,1000,10,0.008,0.4,0.8877879464354071,0.005023382917439376
rmse,750,700,4,0.008,0.2,0.8408383945322218,0.005383185148822189
rmse,500,650,-1,0.038,0.7,0.9147999089060947,0.004088835586617928
mae,950,500,8,0.008,0.4,0.8730964264278102,0.0051718197472645855
rmse,100,450,3,0.028,0.5,0.8564699162961334,0.006130587838735141
mae,700,600,6,0.006,0.2,0.8117488572799216,0.002277447965828768
rmse,1200,600,10,0.014,0.5,0.9052334134686533,0.004164849390787814
rmse,600,500,9,0.008,0.2,0.8704620980961179,0.0038308237403077362
rmse,600,400,7,0.012,0.9,0.8868873007002818,0.0059939699549221084
mae,250,650,7,0.044,0.8,0.8828497640932229,0.006189244219912819
rmse,750,800,11,0.032,0.6,0.9115187922577952,0.003199870382013346
mae,700,900,11,0.008,0.2,0.8755239344679308,0.00402998416360495
mae,1200,1450,10,0.044,0.3,0.8955237492803952,0.004007660484255494
rmse,950,150,8,0.04,0.2,0.8779914040456419,0.003951939962209742
mae,1400,750,3,0.038,0.3,0.8409340846376955,0.007299375800188249
mae,800,450,11,0.036,0.2,0.8813724842202066,0.004435908897684149
mape,650,300,7,0.03,0.9,0.8759521589618946,0.006168729253066927
mape,300,350,8,0.012,0.3,0.8669562902346103,0.004482282000405696
mae,1000,400,7,0.016,0.4,0.8748112537962377,0.005925088508156968
mape,750,600,12,0.012,0.4,0.8898250996898673,0.0049516612025977255
mae,950,1400,12,0.034,0.3,0.8977291492028794,0.00430568142745591
rmse,1050,100,9,0.02,0.7,0.8615641384956563,0.004515168072806108
mae,850,350,3,0.032,0.9,0.8278608838079216,0.008564312868098183
mae,150,900,7,0.048,0.7,0.8844497843787871,0.00627892411018496
mape,1450,600,-1,0.048,0.9,0.9023170649516581,0.0034397301073399674
mae,1150,1050,3,0.044,0.9,0.8491091327599232,0.008439343607681752
rmse,650,1350,3,0.004,0.5,0.8343082436571123,0.00600173929754578
mape,600,950,11,0.042,0.6,0.8955108028604462,0.005391178317886038
mape,800,800,9,0.04,0.9,0.8887005529452933,0.005644881298201131
rmse,1150,850,11,0.038,0.4,0.9111798511900399,0.0036452665570708724
mape,350,500,4,0.01,0.8,0.8388056766606256,0.006015678577440861
mape,950,150,9,0.01,0.1,0.5932333344496248,0.00688726081178114
rmse,1300,950,6,0.04,0.7,0.9038592871287526,0.004786962938341623
rmse,500,1300,7,0.04,0.2,0.9033621765801458,0.0026438176679040833
mae,1100,850,-1,0.028,0.4,0.9034219582750267,0.003702912634688919
mape,200,500,10,0.012,0.5,0.886411196060681,0.004931008565334142
mae,250,950,6,0.044,0.5,0.8803865478465028,0.005725303767784066
mae,350,1200,5,0.042,0.7,0.8751322477982184,0.0073563350252829635
rmse,1450,1350,5,0.006,0.3,0.8777866385797304,0.005364024098872637
mape,1350,100,6,0.042,0.4,0.8568407115672874,0.006029097448801405
mape,900,1200,11,0.014,0.6,0.8941370052549137,0.004688769186524712
mae,250,1150,11,0.042,0.7,0.899667482518401,0.005856189808818148
rmse,750,1200,5,0.022,0.3,0.8920274673966042,0.004452894007701289
rmse,100,1250,4,0.042,0.4,0.8899156539836268,0.004537497453140436
mae,1150,300,9,0.032,0.5,0.8881564024476466,0.005635778654176175
mae,200,850,12,0.004,0.9,0.8842512435037333,0.0040340363740461885
rmse,950,950,7,0.042,0.4,0.9066984001778993,0.004098815178113351
mae,550,950,6,0.028,0.2,0.8705328259918206,0.006332223257779123
mae,1150,450,-1,0.034,0.7,0.9038063283708845,0.0046752047749057096
mae,1450,650,9,0.032,0.3,0.8887855034440398,0.005312561489551056
rmse,550,250,8,0.028,0.2,0.8822222182320639,0.00402698272210391
mae,1100,400,9,0.006,0.2,0.8069811192141412,0.0023378261870698656
mape,350,1400,4,0.036,0.8,0.861314758137656,0.008020182083810166
mae,1400,850,8,0.02,0.2,0.8763061489645039,0.005541843635270138
mape,750,1150,9,0.008,0.1,0.8383834831539572,0.004027111794693219
rmse,350,800,6,0.026,0.4,0.8979198700002125,0.004496713334445063
mae,850,1350,8,0.012,0.3,0.8852438897899588,0.005754573773313271
mape,1100,200,5,0.018,0.4,0.8366509157227127,0.005377983599920116
mape,100,1050,4,0.044,0.5,0.8634863233511232,0.008486633991989172
mae,850,400,10,0.048,0.5,0.892308010224417,0.004379122152052174
rmse,1000,1200,6,0.014,0.7,0.8974229287071945,0.00550841743667649
rmse,1350,300,4,0.026,0.9,0.8645784946181918,0.007907488750121445
mae,300,350,9,0.012,0.1,0.7986273108055115,0.002755507420147483
mae,300,1450,6,0.006,0.2,0.8562956582181347,0.004749605672063119
mae,900,550,11,0.028,0.5,0.8966994114709971,0.004737044275846423
mape,300,1150,11,0.044,0.5,0.8960001179128672,0.004725574741740105
mae,450,1200,-1,0.004,0.3,0.8906605048405127,0.004396761180583535
mape,1300,1250,11,0.038,0.8,0.895562063970853,0.0048518053205393675
rmse,300,800,-1,0.02,0.3,0.912128879360357,0.0037599102951114075
mae,400,1000,11,0.032,0.5,0.89845632760823,0.004648988962823479
mae,1100,1450,9,0.044,0.4,0.8951284528008885,0.0050761854345221305
mape,400,1250,11,0.014,0.7,0.8942950195659599,0.0047123602717925855
mae,850,400,11,0.034,0.4,0.8936751228772908,0.005042217099542575
mae,1100,700,11,0.016,0.2,0.8804213734728636,0.004260843949298453
rmse,150,1400,4,0.026,0.5,0.8874345325750833,0.004930017466945378
mae,150,1350,12,0.036,0.6,0.9001392258324862,0.004694801667012681
mae,1350,700,9,0.01,0.9,0.887147168439014,0.00462722554593791
rmse,1000,850,3,0.04,0.1,0.8532843857435686,0.00460289899054985
rmse,900,1000,-1,0.038,0.3,0.9120692759758775,0.0036572385653424536
mape,200,1350,9,0.042,0.3,0.891379958414556,0.00446694323070739
mae,1100,750,3,0.036,0.8,0.8436945439001083,0.008281604225718569
mape,700,1000,4,0.008,0.8,0.849029647370644,0.007886333742494344
mae,800,1200,10,0.028,0.2,0.8850741472012111,0.004875253872554097
mae,700,1100,3,0.03,0.4,0.8461874849992936,0.00924950579492786
mae,500,200,3,0.028,0.7,0.8189070331910349,0.0056032610590213555
mae,650,1050,12,0.046,0.8,0.902043605267919,0.005555340605122661
mae,1000,1300,5,0.018,0.5,0.8710397431000932,0.0073374297136637665
rmse,700,850,4,0.01,0.1,0.8295866415292577,0.0044114998579023665
mae,200,1350,12,0.004,0.1,0.8273693169868133,0.0038056918301989525
mape,100,500,4,0.028,0.5,0.8558538729535146,0.007705858550258813
rmse,900,1400,3,0.01,0.5,0.8575301440677325,0.005554430171841348
mape,1050,600,12,0.036,0.9,0.8951281441554118,0.004997213675500598
mape,450,800,4,0.048,0.1,0.8411309855287318,0.005490100898075903
mape,1150,900,6,0.02,0.4,0.8750576904982459,0.007581876385034498
mae,1450,200,6,0.028,0.2,0.8419223790332078,0.004011282366114442
mape,1250,1100,5,0.028,0.5,0.871652390082212,0.007120150896320719
mae,250,1100,6,0.024,0.2,0.8703071881859981,0.005884338920123454
mae,1150,1050,3,0.02,0.2,0.8283820458893427,0.006844914338982552
mae,500,1050,12,0.046,0.2,0.8876247303377154,0.004652185341370873
mae,350,1350,11,0.012,0.3,0.8943232821566776,0.004699693153817115
mae,1150,200,6,0.036,0.1,0.8079414392550293,0.002546098650391028
mae,550,150,5,0.026,0.7,0.84905966865033,0.007046422291111468
mape,750,1050,8,0.03,0.2,0.877593532660756,0.005620667388119057
mae,350,150,4,0.014,0.6,0.776312943462222,0.0055059601818581065
mape,150,300,9,0.036,0.4,0.8856434829660067,0.005755355439358931
mape,950,900,6,0.044,0.1,0.8598201491709261,0.004834344343122648
mape,850,1350,4,0.04,0.4,0.8650958039515888,0.007588245485128772
mae,500,350,9,0.036,0.9,0.8887750458099644,0.005186476961187412
mape,1300,1300,6,0.02,0.8,0.8739758775081374,0.006479367603861218
mae,1100,100,8,0.026,0.9,0.8601295805566243,0.0040633433214106816
mae,800,1450,6,0.048,0.7,0.8825277537091759,0.006675134844792486
mape,300,400,10,0.004,0.3,0.7735382546497529,0.0009950091825181367
mae,1150,600,12,0.036,0.4,0.8963920240536857,0.004372679348829326
rmse,400,350,12,0.008,0.2,0.8548799126739969,0.003181853018278018
mae,1450,1300,11,0.01,0.7,0.8968081685783946,0.005577056320550769
rmse,1200,100,6,0.038,0.8,0.8746616804749039,0.006975788582603229
mae,250,350,6,0.04,0.5,0.8742134992645664,0.00628312980021776
mae,1000,500,-1,0.036,0.2,0.8872060839183491,0.004452733690188636
mae,1400,800,12,0.02,0.9,0.8990754233952571,0.0048509142002006265
mape,700,1400,-1,0.008,0.6,0.9001637954806023,0.004765537142944883
mape,950,1300,12,0.044,0.1,0.8679971759055858,0.004828467293008717
mape,250,900,9,0.012,0.6,0.887061626211719,0.0053957243972759935
mae,1400,150,6,0.048,0.2,0.8488669337119455,0.005155407775808217
mape,750,1250,8,0.04,0.5,0.887923290433958,0.004801400901931698
rmse,250,1450,-1,0.016,0.4,0.9154107289274066,0.004072650145062332
mae,750,1400,-1,0.032,0.1,0.8714292631120482,0.003435711866813088
mape,150,600,7,0.036,0.4,0.8809075005712971,0.005694763943012915
mape,650,750,6,0.048,0.7,0.8765888920930429,0.007350557349780407
mae,500,1450,11,0.036,0.2,0.8882136678504853,0.00438096217153289
rmse,1400,950,-1,0.042,0.5,0.914782101975559,0.004514107051076771
mae,500,750,4,0.048,0.4,0.863504440265818,0.007275001862340989
mape,900,450,6,0.044,0.1,0.848569827899728,0.004628296670855599
rmse,1250,150,8,0.022,0.1,0.7994730928892373,0.0024570021576744805
mae,250,1200,5,0.046,0.5,0.875165120548997,0.007134296586715875
mape,1200,800,12,0.048,0.5,0.8963023383169888,0.004503739964894856
rmse,450,350,11,0.032,0.9,0.9048925747482425,0.00422927707128363
rmse,1150,550,8,0.008,0.1,0.8284351661727114,0.0032945456611840067
mape,1050,400,12,0.006,0.3,0.8396814991510962,0.002765292292401921
rmse,1300,1200,12,0.03,0.2,0.9056183638641371,0.0026555310061562054
mape,850,1250,4,0.046,0.4,0.865175517772923,0.0071916020332168555
rmse,1300,200,3,0.024,0.2,0.8047592571675388,0.004026457578718256
mae,1100,850,10,0.048,0.9,0.8961186891473174,0.005531130247637242
rmse,850,1100,7,0.024,0.2,0.8987046791941818,0.0034208827367031313
mape,400,700,9,0.02,0.9,0.8879142939095763,0.00480098923184737
mae,1300,950,9,0.038,0.2,0.8836144142964024,0.004548757268305403
rmse,400,400,-1,0.024,0.1,0.8698372615005898,0.00338253397196803
mae,850,700,3,0.036,0.3,0.8382225565427551,0.007732837824829873
mae,800,1400,7,0.042,0.5,0.8878827309619569,0.005798833908122722
rmse,500,150,11,0.02,0.3,0.8797761929144798,0.004081905885561718
rmse,600,150,4,0.048,0.1,0.8187797744142927,0.004139441996711207
rmse,900,500,3,0.028,0.8,0.8570164789347867,0.0068388296394044125
mape,550,200,-1,0.032,0.1,0.8206137684111232,0.0043699480541621325
mape,1150,900,10,0.04,0.5,0.8936688610042911,0.004590551616621022
rmse,150,350,11,0.014,0.9,0.89959774714959,0.004728638885918463
rmse,1200,1150,5,0.018,0.7,0.8917152067831198,0.005859992623484328
mae,900,600,9,0.034,0.1,0.8619609337007847,0.0041286088511869965
mape,1150,100,11,0.004,0.5,0.34792017018750576,0.005184057728433068
mae,950,200,10,0.032,0.1,0.8323628653690649,0.003196142713459343
mape,250,850,6,0.006,0.8,0.864997316383608,0.006349359329253694
mae,750,200,-1,0.016,0.6,0.8870368667839204,0.005030933951119479
mape,1300,350,7,0.008,0.2,0.796477578790268,0.0013736132909205837
mape,400,1150,11,0.024,0.6,0.8953916643231532,0.00457291066192344
mae,750,200,11,0.018,0.4,0.8823551797118283,0.004885172695157059
rmse,200,400,10,0.034,0.4,0.9066883129404371,0.0035860567121414433
mape,450,500,-1,0.016,0.7,0.8966237435230071,0.0046902196557903775
rmse,450,300,4,0.03,0.5,0.8690003388078882,0.006203947443067493
rmse,650,450,5,0.038,0.9,0.8884845810840145,0.006403247098816247
mape,300,100,6,0.044,0.9,0.86246088252712,0.005813412137140599
mae,150,1100,9,0.006,0.9,0.8861123890237781,0.004965075488971557
mae,300,700,12,0.044,0.4,0.8985468838247913,0.004427658984084044
mae,200,750,7,0.018,0.2,0.8704747570708523,0.005952549259397871
mae,1300,800,6,0.016,0.3,0.8722256415324714,0.0061701039769905845
mae,1400,200,5,0.044,0.3,0.8566258335694916,0.006560355761942788
mae,1050,500,7,0.004,0.6,0.821967965530504,0.0038387421166632034
mae,150,1150,8,0.006,0.7,0.8825687911461861,0.005675768606131396
mape,300,950,8,0.018,0.3,0.8837765049795923,0.005150890320288077
mape,500,600,-1,0.032,0.1,0.8532429375362586,0.004695876545431804
mape,1200,250,-1,0.04,0.5,0.8963965800322278,0.0043209588903105785
mae,800,650,4,0.022,0.7,0.8561230586557251,0.007638909195564889
mae,800,750,6,0.024,0.7,0.8756576858903298,0.006883135026762256
rmse,1450,750,5,0.042,0.2,0.8872251134560482,0.0038670928777964353
mae,200,350,8,0.04,0.9,0.8849195468375353,0.005470817041135192
mae,400,450,6,0.014,0.1,0.7997484594806743,0.0027686424684353174
mape,600,1450,12,0.044,0.2,0.8857013446726855,0.003754724227902347
rmse,150,950,10,0.046,0.8,0.9133211040822795,0.0037791055014831593
mae,350,1200,6,0.026,0.3,0.8790462177980829,0.0062702773276998094
mape,1000,850,6,0.032,0.4,0.8771606276192961,0.006511789176705996
mae,100,1050,9,0.016,0.4,0.8899503957560866,0.006100229094638421
mape,250,1100,10,0.008,0.6,0.8895224474476627,0.0050071240392321964
mae,850,1350,10,0.03,0.7,0.8972332619254124,0.0046324109334662895
mae,1350,400,11,0.024,0.2,0.8785153082815685,0.0052692635015387165
mae,750,1450,7,0.012,0.7,0.881364587721597,0.0060648639704786135
mae,350,150,5,0.044,0.1,0.7855330529529682,0.0029073893214588433
mae,1450,200,7,0.012,0.9,0.8460944192802818,0.003657360293492672
mae,1100,900,3,0.042,0.7,0.8495838016883466,0.007669409379220152
rmse,700,1200,3,0.04,0.2,0.8713048169321931,0.004825266167278551
mae,1300,1100,3,0.004,0.4,0.7929679839753847,0.00444132953706282
mae,1200,1150,3,0.022,0.2,0.8319854569017782,0.00666727964315609
mae,600,600,-1,0.03,0.6,0.9050567364404174,0.005864679677207784
mape,1050,850,3,0.024,0.7,0.841523077972893,0.0073692230105673285
mape,1450,1450,4,0.044,0.9,0.8616097607897212,0.007510229175261605
mae,150,1400,3,0.032,0.8,0.8497737733254154,0.008491331028250632
mae,900,750,3,0.018,0.5,0.8341587823678072,0.006482060416253528
mae,350,300,6,0.012,0.6,0.8576495003835803,0.005880579736104807
mae,250,1350,9,0.048,0.9,0.8946455006636629,0.004796346377765525
rmse,1000,200,7,0.028,0.6,0.8902113009056334,0.005229368809702685
mae,150,650,11,0.012,0.9,0.8912445748917956,0.004935827676162477
mae,850,300,6,0.012,0.7,0.8583154611200685,0.005881604212161156
mae,1050,1250,3,0.04,0.8,0.8519078368048785,0.008164019896381708
mae,900,500,12,0.02,0.5,0.8959441150617429,0.0048149050305312325
mape,150,1000,-1,0.012,0.5,0.8940111649562342,0.004364562049584422
mape,1000,1050,6,0.028,0.2,0.8697010691389793,0.006082406311550482
mae,1000,900,12,0.03,0.2,0.8865980469231601,0.004345077986213497
rmse,750,1300,9,0.034,0.4,0.9120087937005965,0.0033531425684114598
mae,1050,200,11,0.03,0.9,0.8926622220012369,0.004049511718202464
mape,550,200,-1,0.036,0.3,0.8861789103559183,0.004715441404579653
mae,850,950,5,0.034,0.6,0.8727548534338033,0.007135503569096371
mae,1050,850,6,0.024,0.6,0.8764871518275876,0.006831825202350577
mape,500,1200,6,0.03,0.1,0.8597133486061281,0.005088098276190757
rmse,550,450,-1,0.032,0.7,0.9133254071162611,0.0041094819200400996
rmse,1050,300,8,0.03,0.3,0.8976138401471183,0.004042972211809449
rmse,1150,100,10,0.018,0.5,0.8494445570691165,0.0038352198041536026
rmse,350,1350,10,0.01,0.6,0.9092459906963926,0.003646101370233727
mape,300,300,7,0.032,0.8,0.8772073037065073,0.006399005943257463
mape,800,300,11,0.036,0.7,0.8908461203302851,0.004723388532781095
mae,1400,150,12,0.042,0.2,0.8724906458713146,0.004324241015335909
mape,750,1150,9,0.042,0.9,0.8907717943737348,0.00442340642360764
mape,100,800,-1,0.02,0.7,0.8925051604307022,0.005073931623241399
mape,1000,1100,10,0.014,0.4,0.8904731139765559,0.005066515272197549
rmse,100,100,4,0.026,0.9,0.817676834735088,0.007990722816799632
rmse,100,950,7,0.012,0.4,0.8984624806918388,0.004425470752861472
